,CHP1_Electricity_Generation_(kW),CHP2_Electricity_Generation_(kW),CHP1_Heat_Output_(kW),CHP2_Heat_Output_(kW),Boiler_Heat_Output_(kW),Feels-Like Temperature Deg C,Wind Speed ms,Energy Usage KW,Day ahead UK electricity price,Site_Heat_Demand_(kW),Import_Electricity_(kW),Export_Electricity_(kW)
01/01/2020 08:30,927.8125,1491.71875,1156.25,2375,85.27131783,2.3,3.1,0,30.285,3616.521318,0,-145.8956259
01/01/2020 09:00,1011.875,1491.25,1281.25,2375,85.27131783,1.9,3.3,0,32.6,3741.521318,0,-239.8349353
01/01/2020 09:30,1090.9375,1490.15625,1406.25,2375,85.27131783,1.9,3.3,0,35.3,3866.521318,0,-324.3293458
01/01/2020 10:00,1168.125,1489.21875,1500,2375,85.27131783,1.9,3.5,0,38,3960.271318,0,-466.1542759
01/01/2020 10:30,1242.1875,1488.90625,1625,2375,15.50387597,1.9,3.5,0,41.265,4015.503876,0,-569.8268169
01/01/2020 11:00,1230.15625,1489.0625,1718.75,2375,69.76744186,3,2.1,0,44.53,4163.517442,0,-550.948669
01/01/2020 11:30,1209.84375,1488.4375,1718.75,2375,69.76744186,3,2.1,0,42.265,4163.517442,0,-532.2394433
01/01/2020 12:00,1205.3125,1487.8125,1718.75,2375,69.76744186,2.7,2.4,0,40,4163.517442,0,-513.23606
01/01/2020 12:30,1189.375,1487.34375,1687.5,2375,69.76744186,2.7,2.4,0,40,4132.267442,0,-494.4423732
01/01/2020 13:00,1190.3125,1487.8125,1687.5,2375,69.76744186,1.6,4,0,40,4132.267442,0,-484.8664141
01/01/2020 13:30,1163.125,1486.71875,1687.5,2375,69.76744186,1.6,4,0,39.845,4132.267442,0,-456.7443265
01/01/2020 14:00,1133.75,1486.71875,1656.25,2375,69.76744186,2,4.2,0,39.69,4101.017442,0,-447.7421204
01/01/2020 14:30,1132.8125,1486.09375,1656.25,2375,69.76744186,2,4.2,0,38.345,4101.017442,0,-447.7712449
01/01/2020 15:00,1119.0625,1487.5,1656.25,2375,69.76744186,0,5.1,0,37,4101.017442,0,-428.9018343
01/01/2020 15:30,1102.1875,1487.34375,1625,2375,155.0387597,0,5.1,0,43.6,4155.03876,0,-438.7690387
01/01/2020 16:00,1090.15625,1486.875,1593.75,2343.75,155.0387597,0.3,4.2,0,50.2,4092.53876,0,-429.4522877
01/01/2020 16:30,1064.53125,1487.34375,1531.25,2343.75,155.0387597,0.3,4.2,0,51.75,4030.03876,0,-410.8216983
01/01/2020 17:00,1035.46875,1487.03125,1500,2343.75,155.0387597,1.2,3.1,0,53.3,3998.78876,0,-382.7199979
01/01/2020 17:30,958.28125,1488.28125,1406.25,2375,155.0387597,1.2,3.1,0,48.15,3936.28876,0,-279.0882313
01/01/2020 18:00,884.21875,1486.875,1281.25,2375,155.0387597,1.2,3.8,0,43,3811.28876,0,-184.9974744
01/01/2020 18:30,816.71875,1486.875,1187.5,2375,178.2945736,1.2,3.8,0,42.07,3740.794574,0,-71.65868828
01/01/2020 19:00,754.84375,1486.71875,1093.75,2375,170.5426357,1.9,3.3,0,41.14,3639.292636,0,0
01/01/2020 19:30,686.09375,1487.1875,968.75,2375,162.7906977,1.9,3.3,0,38.57,3506.540698,0,0
01/01/2020 20:00,620.625,1487.1875,875,2375,162.7906977,1.6,4.1,0,36,3412.790698,0,0
01/01/2020 20:30,531.25,1486.875,750,2375,162.7906977,1.6,4.1,0,35.96,3287.790698,0,0
01/01/2020 21:00,461.71875,1487.34375,625,2375,170.5426357,1.6,4.8,0,35.92,3170.542636,0,0
01/01/2020 21:30,397.34375,1487.65625,531.25,2375,170.5426357,1.6,4.8,0,33.96,3076.792636,0,0
01/01/2020 22:00,322.8125,1487.5,437.5,2375,170.5426357,2.4,3.3,0,32,2983.042636,0,0
01/01/2020 22:30,255.625,1486.09375,343.75,2375,170.5426357,2.4,3.3,0,30.935,2889.292636,0,0
01/01/2020 23:00,178.28125,1486.09375,250,2375,116.2790698,1.9,4.7,0,29.87,2741.27907,0,0
01/01/2020 23:30,108.4375,1486.71875,156.25,2375,116.2790698,1.9,4.7,0,28.805,2647.52907,0,0
02/01/2020 00:00,50,1486.5625,93.75,2375,116.2790698,1.8,5,0,27.74,2585.02907,0,0
02/01/2020 00:30,0,1487.03125,0,2375,116.2790698,1.8,5,0,27.1,2491.27907,0,0
02/01/2020 01:00,0,1485.9375,0,2343.75,116.2790698,1.6,5.1,0,26.46,2460.02907,0,0
02/01/2020 01:30,0,1487.1875,0,2343.75,186.0465116,1.6,5.1,0,25.145,2529.796512,0,0
02/01/2020 02:00,0,1486.71875,0,2343.75,186.0465116,2.1,4.5,0,23.83,2529.796512,0,0
02/01/2020 02:30,0,1486.71875,0,2343.75,186.0465116,2.1,4.5,0,23.645,2529.796512,0,0
02/01/2020 03:00,0,1485.15625,0,2343.75,186.0465116,2.4,4.4,0,23.46,2529.796512,0,0
02/01/2020 03:30,0,1484.53125,0,2343.75,108.5271318,2.4,4.4,0,23.545,2452.277132,0,0
02/01/2020 04:00,69.6875,1484.0625,125,2343.75,108.5271318,2.1,5.7,0,23.63,2577.277132,0,0
02/01/2020 04:30,166.5625,1482.8125,250,2343.75,108.5271318,2.1,5.7,0,25.855,2702.277132,0,0
02/01/2020 05:00,262.5,1482.5,375,2343.75,170.5426357,2.5,5.6,0,28.08,2889.292636,0,0
02/01/2020 05:30,361.09375,1482.8125,500,2343.75,170.5426357,2.5,5.6,0,31.455,3014.292636,0,0
02/01/2020 06:00,439.0625,1483.75,625,2343.75,170.5426357,2.2,6.4,0,34.83,3139.292636,0,0
02/01/2020 06:30,490.15625,1483.59375,750,2343.75,147.2868217,2.2,6.4,0,35.865,3241.036822,0,0
02/01/2020 07:00,566.25,1484.0625,843.75,2375,155.0387597,2.7,6.9,0,36.9,3373.78876,0,0
02/01/2020 07:30,626.09375,1483.59375,937.5,2375,162.7906977,2.7,6.9,0,37.13,3475.290698,0,0
02/01/2020 08:00,684.375,1484.0625,1031.25,2375,178.2945736,3.1,7.1,0,37.36,3584.544574,0,0
02/01/2020 08:30,756.25,1483.75,1125,2375,178.2945736,3.1,7.1,0,37.54,3678.294574,0,0
02/01/2020 09:00,846.71875,1483.125,1250,2375,186.0465116,3.3,7.5,0,37.72,3811.046512,0,0
02/01/2020 09:30,924.6875,1484.21875,1375,2375,248.0620155,3.3,7.5,0,38.42,3998.062016,0,0
02/01/2020 10:00,990,1484.21875,1468.75,2375,248.0620155,3.2,7.7,0,39.12,4091.812016,0,0
02/01/2020 10:30,1040,1484.6875,1531.25,2375,317.8294574,3.2,7.7,0,39.145,4224.079457,0,0
02/01/2020 11:00,1089.84375,1485,1593.75,2375,379.8449612,3.9,8.1,0,39.17,4348.594961,0,0
02/01/2020 11:30,1082.03125,1485.15625,1531.25,2375,387.5968992,3.9,8.1,0,39.06,4293.846899,0,0
02/01/2020 12:00,985.15625,1486.25,1406.25,2375,434.1085271,4.4,9.2,0,38.95,4215.358527,0,0
02/01/2020 12:30,889.21875,1486.40625,1281.25,2375,503.875969,4.4,9.2,0,38.585,4160.125969,0,0
02/01/2020 13:00,790.625,1485.78125,1156.25,2375,550.3875969,5.1,9.1,0,38.22,4081.637597,0,0
02/01/2020 13:30,712.65625,1485.46875,1031.25,2375,488.372093,5.1,9.1,0,38.17,3894.622093,0,0
02/01/2020 14:00,661.5625,1484.84375,906.25,2406.25,519.379845,5.9,7.2,0,38.12,3831.879845,0,0
02/01/2020 14:30,585.46875,1483.125,812.5,2375,589.1472868,5.9,7.2,0,38.305,3776.647287,0,0
02/01/2020 15:00,525.625,1475.625,718.75,2375,604.6511628,5.9,7.6,0,38.49,3698.401163,0,0
02/01/2020 15:30,467.34375,1476.25,625,2375,674.4186047,5.9,7.6,0,39.36,3674.418605,0,0
02/01/2020 16:00,395.46875,1470.625,531.25,2375,682.1705426,5.7,8.1,0,40.23,3588.420543,0,0
02/01/2020 16:30,305,1466.09375,406.25,2375,751.9379845,5.7,8.1,0,43.065,3533.187984,0,0
02/01/2020 17:00,227.03125,1465.3125,281.25,2375,689.9224806,5.6,9.6,0,45.9,3346.172481,0,0
02/01/2020 17:30,161.71875,1465.46875,187.5,2375,767.4418605,5.6,9.6,0,42.95,3329.94186,0,0
02/01/2020 18:00,111.71875,1465.78125,125,2375,790.6976744,5.7,8.6,0,40,3290.697674,0,0
02/01/2020 18:30,61.875,1465.9375,62.5,2375,798.4496124,5.7,8.6,0,38.955,3235.949612,0,0
02/01/2020 19:00,0,1463.125,0,2375,852.7131783,5.9,7.6,0,37.91,3227.713178,0,0
02/01/2020 19:30,0,1417.65625,0,2281.25,883.7209302,5.9,7.6,0,34.955,3164.97093,0,0
02/01/2020 20:00,0,1407.03125,0,2281.25,937.9844961,5.7,8,0,32,3219.234496,0,0
02/01/2020 20:30,0,1406.71875,0,2281.25,937.9844961,5.7,8,0,30.325,3219.234496,0,0
02/01/2020 21:00,0,1401.875,0,2250,945.7364341,5.9,8.1,0,28.65,3195.736434,0,0
02/01/2020 21:30,0,1380.46875,0,2156.25,937.9844961,5.9,8.1,0,28.145,3094.234496,0,0
02/01/2020 22:00,0,1380.78125,0,2156.25,937.9844961,6,7.9,0,27.64,3094.234496,0,0
02/01/2020 22:30,0,1387.34375,0,2156.25,906.9767442,6,7.9,0,29.175,3063.226744,0,0
02/01/2020 23:00,0,1376.25,0,2125,914.7286822,6.4,7.6,0,30.71,3039.728682,0,0
02/01/2020 23:30,0,1382.8125,0,2093.75,922.4806202,6.4,7.6,0,28.09,3016.23062,0,0
03/01/2020 00:00,0,1387.96875,0,2093.75,875.9689922,6.5,8.2,0,25.47,2969.718992,0,0
03/01/2020 00:30,0,1387.8125,0,2093.75,875.9689922,6.5,8.2,0,24.76,2969.718992,0,0
03/01/2020 01:00,0,1388.28125,0,2093.75,868.2170543,6.7,8,0,24.05,2961.967054,0,0
03/01/2020 01:30,0,1387.65625,0,2093.75,922.4806202,6.7,8,0,22.86,3016.23062,0,0
03/01/2020 02:00,0,1387.34375,0,2093.75,899.2248062,6.9,7.8,0,21.67,2992.974806,0,0
03/01/2020 02:30,0,1390,0,2093.75,829.4573643,6.9,7.8,0,20.625,2923.207364,0,0
03/01/2020 03:00,0,1435.46875,0,2187.5,813.9534884,6.9,7.7,0,19.58,3001.453488,0,0
03/01/2020 03:30,71.5625,1445.78125,125,2187.5,790.6976744,6.9,7.7,0,21.145,3103.197674,0,0
03/01/2020 04:00,132.03125,1446.71875,218.75,2187.5,852.7131783,7.3,5.6,0,22.71,3258.963178,0,0
03/01/2020 04:30,207.96875,1452.03125,343.75,2218.75,821.7054264,7.3,5.6,0,24.9,3384.205426,0,0
03/01/2020 05:00,257.8125,1474.21875,437.5,2281.25,829.4573643,7.5,4.1,0,27.09,3548.207364,0,0
03/01/2020 05:30,329.84375,1474.0625,531.25,2312.5,775.1937984,7.5,4.1,0,31.8,3618.943798,0,0
03/01/2020 06:00,411.71875,1474.375,625,2343.75,806.2015504,7.2,4.6,0,36.51,3774.95155,0,0
03/01/2020 06:30,461.71875,1484.375,718.75,2406.25,868.2170543,7.2,4.6,0,35.97,3993.217054,0,0
03/01/2020 07:00,511.71875,1483.75,812.5,2468.75,860.4651163,7.5,4.2,0,35.43,4141.715116,0,0
03/01/2020 07:30,596.40625,1484.0625,968.75,2500,844.9612403,7.5,4.2,0,37.715,4313.71124,0,0
03/01/2020 08:00,695.3125,1483.90625,1125,2531.25,775.1937984,6.8,6.1,0,40,4431.443798,0,0
03/01/2020 08:30,778.4375,1484.53125,1281.25,2531.25,782.9457364,6.8,6.1,0,41.5,4595.445736,0,0
03/01/2020 09:00,848.125,1485.3125,1406.25,2531.25,790.6976744,4.2,9.6,0,43,4728.197674,0,0
03/01/2020 09:30,940.625,1485.3125,1531.25,2531.25,806.2015504,4.2,9.6,1,42.99,4868.70155,1,0
03/01/2020 10:00,1015.3125,1485.9375,1656.25,2531.25,875.9689922,3.2,8.1,2,42.98,5063.468992,2,0
03/01/2020 10:30,1105.46875,1486.25,1781.25,2531.25,899.2248062,3.2,8.1,3,41.115,5211.724806,3,0
03/01/2020 11:00,1119.84375,1486.09375,1781.25,2562.5,860.4651163,3,7.4,4,39.25,5204.215116,4,0
03/01/2020 11:30,1158.125,1485.9375,1812.5,2593.75,852.7131783,3,7.4,5,36.975,5258.963178,5,0
03/01/2020 12:00,1181.5625,1485.46875,1843.75,2593.75,899.2248062,3,6,6,34.7,5336.724806,6,0
03/01/2020 12:30,1225.3125,1485.9375,1906.25,2593.75,899.2248062,3,6,7,34.415,5399.224806,7,0
03/01/2020 13:00,1238.4375,1486.40625,1937.5,2562.5,930.2325581,3,6.3,8,34.13,5430.232558,8,0
03/01/2020 13:30,1233.75,1487.8125,1968.75,2531.25,875.9689922,3,6.3,9,33.845,5375.968992,9,0
03/01/2020 14:00,1264.84375,1488.125,2000,2500,899.2248062,3.2,6.1,10,33.56,5399.224806,10,0
03/01/2020 14:30,1294.21875,1487.96875,2031.25,2468.75,968.9922481,3.2,6.1,11,33.785,5468.992248,11,0
03/01/2020 15:00,1292.34375,1486.5625,2000,2437.5,968.9922481,3.3,4.8,12,34.01,5406.492248,12,0
03/01/2020 15:30,1275.15625,1487.34375,1937.5,2406.25,930.2325581,3.3,4.8,13,37.745,5273.982558,13,0
03/01/2020 16:00,1258.125,1487.34375,1875,2406.25,914.7286822,3.1,2.7,14,41.48,5195.978682,14,0
03/01/2020 16:30,1258.4375,1487.65625,1843.75,2406.25,953.4883721,3.1,2.7,15,44.295,5203.488372,15,0
03/01/2020 17:00,1233.125,1487.65625,1812.5,2406.25,1000,1.4,3.5,16,47.11,5218.75,16,0
03/01/2020 17:30,1158.4375,1488.28125,1718.75,2406.25,984.496124,1.4,3.5,17,43.55,5109.496124,17,0
03/01/2020 18:00,1068.28125,1488.125,1593.75,2406.25,984.496124,1.1,4.8,18,39.99,4984.496124,18,0
03/01/2020 18:30,982.34375,1488.125,1468.75,2375,984.496124,1.1,4.8,19,39.435,4828.246124,19,0
03/01/2020 19:00,883.59375,1488.75,1343.75,2375,1007.751938,1.4,4,20,38.88,4726.501938,20,0
03/01/2020 19:30,784.21875,1488.59375,1187.5,2406.25,1023.255814,1.4,4,21,37.13,4617.005814,21,0
03/01/2020 20:00,690.625,1487.5,1031.25,2406.25,1038.75969,0.9,5.1,22,35.38,4476.25969,22,0
03/01/2020 20:30,605.46875,1487.34375,906.25,2406.25,1100.775194,0.9,5.1,23,34.68,4413.275194,23,0
03/01/2020 21:00,528.28125,1486.875,781.25,2437.5,1147.286822,0.3,5.6,24,33.98,4366.036822,24,0
03/01/2020 21:30,447.1875,1486.71875,656.25,2468.75,1155.03876,0.3,5.6,25,33.415,4280.03876,25,0
03/01/2020 22:00,367.8125,1487.34375,531.25,2500,1093.023256,0.2,6.4,26,32.85,4124.273256,26,0
03/01/2020 22:30,285,1487.96875,406.25,2500,1054.263566,0.2,6.4,27,29.7,3960.513566,27,0
03/01/2020 23:00,203.28125,1487.5,312.5,2531.25,1093.023256,0.3,5.3,28,26.55,3936.773256,28,0
03/01/2020 23:30,137.1875,1486.875,218.75,2562.5,1162.790698,0.3,5.3,29,26.62,3944.040698,29,0
04/01/2020 00:00,67.1875,1486.25,125,2593.75,1178.294574,0,4.8,30,26.69,3897.044574,30,0
04/01/2020 00:30,0,1486.09375,31.25,2593.75,1124.031008,0,4.8,31,25.895,3749.031008,31,0
04/01/2020 01:00,0,1485.78125,0,2625,1062.015504,0.5,3.8,32,25.1,3687.015504,32,0
04/01/2020 01:30,0,1485.3125,0,2625,1100.775194,0.5,3.8,33,24.435,3725.775194,33,0
04/01/2020 02:00,0,1485.9375,0,2656.25,1147.286822,-0.1,4.4,34,23.77,3803.536822,34,0
04/01/2020 02:30,0,1485.78125,0,2656.25,1147.286822,-0.1,4.4,35,22.815,3803.536822,35,0
04/01/2020 03:00,0,1486.71875,0,2625,1155.03876,1.2,3,36,21.86,3780.03876,36,0
04/01/2020 03:30,50,1487.03125,93.75,2625,1178.294574,1.2,3,37,21.705,3897.044574,37,0
04/01/2020 04:00,50,1486.71875,93.75,2656.25,1193.79845,1.1,4,38,21.55,3943.79845,38,0
04/01/2020 04:30,50,1486.71875,93.75,2656.25,1178.294574,1.1,4,39,21.775,3928.294574,39,0
04/01/2020 05:00,55.46875,1486.71875,93.75,2625,1155.03876,0.9,6.1,40,22,3873.78876,40,0
04/01/2020 05:30,125.15625,1486.71875,187.5,2625,1201.550388,0.9,6.1,41,22.985,4014.050388,41,0
04/01/2020 06:00,213.75,1486.5625,343.75,2656.25,1147.286822,2.3,3.7,42,23.97,4147.286822,42,0
04/01/2020 06:30,296.09375,1486.71875,437.5,2625,1077.51938,2.3,3.7,43,25.24,4140.01938,43,0
04/01/2020 07:00,372.34375,1486.09375,562.5,2593.75,1000,2.5,3,44,26.51,4156.25,44,0
04/01/2020 07:30,453.28125,1485.625,656.25,2562.5,976.744186,2.5,3,45,29.255,4195.494186,45,0
04/01/2020 08:00,540,1485.625,750,2562.5,1023.255814,0.9,5.9,46,32,4335.755814,46,0
04/01/2020 08:30,616.71875,1485,875,2531.25,1023.255814,0.9,5.9,47,33.285,4429.505814,47,0
04/01/2020 09:00,695.625,1484.6875,968.75,2531.25,1007.751938,1.9,5.3,48,34.57,4507.751938,48,0
04/01/2020 09:30,774.21875,1484.375,1062.5,2500,937.9844961,1.9,5.3,49,34.905,4500.484496,49,0
04/01/2020 10:00,865.15625,1484.6875,1187.5,2468.75,930.2325581,2.7,4.9,50,35.24,4586.482558,50,0
04/01/2020 10:30,941.5625,1483.75,1312.5,2468.75,906.9767442,2.7,4.9,51,35.93,4688.226744,51,0
04/01/2020 11:00,974.84375,1483.125,1343.75,2468.75,837.2093023,3.3,4.6,52,36.62,4649.709302,52,0
04/01/2020 11:30,1052.5,1483.90625,1468.75,2437.5,829.4573643,3.3,4.6,53,36.62,4735.707364,53,-76.86888219
04/01/2020 12:00,1126.5625,1482.65625,1562.5,2406.25,806.2015504,4,6,54,36.62,4774.95155,54,-218.7578863
04/01/2020 12:30,1194.21875,1482.5,1656.25,2406.25,790.6976744,4,6,55,37.525,4853.197674,55,-379.8454079
04/01/2020 13:00,1186.71875,1482.1875,1656.25,2375,782.9457364,5.4,6.4,56,38.43,4814.195736,56,-341.7920421
04/01/2020 13:30,1172.34375,1482.96875,1625,2343.75,736.4341085,5.4,6.4,57,38.015,4705.184109,57,-342.0454254
04/01/2020 14:00,1164.53125,1482.8125,1625,2343.75,728.6821705,5.1,5,58,37.6,4697.432171,58,-361.2934547
04/01/2020 14:30,1160.15625,1483.90625,1593.75,2343.75,682.1705426,5.1,5,59,35.015,4619.670543,59,-370.9043633
04/01/2020 15:00,1150.15625,1484.21875,1593.75,2343.75,674.4186047,5.2,4.1,60,32.43,4611.918605,60,-351.9854411
04/01/2020 15:30,1123.28125,1484.21875,1593.75,2343.75,635.6589147,5.2,4.1,61,39.42,4573.158915,61,-352.4863828
04/01/2020 16:00,1111.40625,1485,1562.5,2343.75,604.6511628,4.7,3.8,62,46.41,4510.901163,62,-333.5936726
04/01/2020 16:30,1082.34375,1485.46875,1562.5,2343.75,604.6511628,4.7,3.8,63,52.705,4510.901163,63,-267.2784216
04/01/2020 17:00,1074.21875,1486.25,1562.5,2343.75,635.6589147,4,3.8,64,59,4541.908915,64,-286.514801
04/01/2020 17:30,1033.28125,1485.3125,1500,2343.75,620.1550388,4,3.8,65,54.785,4463.905039,65,-277.745591
04/01/2020 18:00,1010,1485,1468.75,2343.75,627.9069767,4.1,3.9,66,50.57,4440.406977,66,-287.7351183
04/01/2020 18:30,926.71875,1486.25,1406.25,2343.75,697.6744186,4.1,3.9,67,45.595,4447.674419,67,-298.8139026
04/01/2020 19:00,849.0625,1486.09375,1281.25,2343.75,767.4418605,4.3,3.3,68,40.62,4392.44186,68,-204.7668325
04/01/2020 19:30,775,1487.34375,1187.5,2343.75,759.6899225,4.3,3.3,69,38.265,4290.939922,69,-120.1763111
04/01/2020 20:00,701.875,1487.34375,1093.75,2343.75,767.4418605,4.3,3.3,70,35.91,4204.94186,70,-16.49212035
04/01/2020 20:30,639.6875,1487.65625,1000,2343.75,720.9302326,4.3,3.3,71,35.425,4064.680233,71,0
04/01/2020 21:00,565.46875,1487.96875,875,2343.75,666.6666667,4.2,3.9,72,34.94,3885.416667,72,0
04/01/2020 21:30,490.9375,1488.28125,781.25,2343.75,728.6821705,4.2,3.9,73,34.145,3853.682171,73,0
04/01/2020 22:00,419.0625,1487.1875,687.5,2343.75,782.9457364,3.7,3.5,74,33.35,3814.195736,74,0
04/01/2020 22:30,348.125,1487.96875,593.75,2343.75,806.2015504,3.7,3.5,75,31.17,3743.70155,75,0
04/01/2020 23:00,288.28125,1488.28125,500,2343.75,875.9689922,3.8,3.6,76,28.99,3719.718992,76,0
04/01/2020 23:30,223.4375,1487.5,406.25,2343.75,837.2093023,3.8,3.6,77,28.725,3587.209302,77,0
05/01/2020 00:00,173.59375,1486.40625,312.5,2343.75,860.4651163,3.7,3.7,78,28.46,3516.715116,78,0
05/01/2020 00:30,103.125,1486.40625,218.75,2343.75,930.2325581,3.7,3.7,79,27.92,3492.732558,79,0
05/01/2020 01:00,53.125,1486.71875,156.25,2343.75,1000,3.6,3.9,80,27.38,3500,80,0
05/01/2020 01:30,0,1487.03125,62.5,2343.75,1007.751938,3.6,3.9,81,26.865,3414.001938,81,0
05/01/2020 02:00,0,1486.71875,0,2343.75,976.744186,3.7,3.3,82,26.35,3320.494186,82,0
05/01/2020 02:30,0,1486.40625,0,2343.75,1023.255814,3.7,3.3,83,26.29,3367.005814,83,0
05/01/2020 03:00,0,1485.78125,0,2343.75,1031.007752,3.6,3.7,84,26.23,3374.757752,84,0
05/01/2020 03:30,0,1486.5625,0,2343.75,1062.015504,3.6,3.7,85,25.595,3405.765504,85,0
05/01/2020 04:00,0,1485.9375,0,2375,1093.023256,3.4,3.9,86,24.96,3468.023256,86,0
05/01/2020 04:30,0,1485.3125,0,2406.25,1062.015504,3.4,3.9,87,25.17,3468.265504,87,0
05/01/2020 05:00,0,1485.15625,0,2437.5,1007.751938,3,4.6,88,25.38,3445.251938,88,0
05/01/2020 05:30,0,1485.9375,0,2468.75,1007.751938,3,4.6,89,25.7,3476.501938,89,0
05/01/2020 06:00,0,1485.78125,0,2500,1046.511628,3.2,5,90,26.02,3546.511628,90,0
05/01/2020 06:30,71.40625,1485,125,2500,1031.007752,3.2,5,91,27.055,3656.007752,91,0
05/01/2020 07:00,144.53125,1485,218.75,2500,961.2403101,3.1,4.5,92,28.09,3679.99031,92,0
05/01/2020 07:30,204.6875,1485.46875,312.5,2500,953.4883721,3.1,4.5,93,29.045,3765.988372,93,0
05/01/2020 08:00,254.6875,1484.53125,406.25,2500,922.4806202,3.6,4.2,94,30,3828.73062,94,0
05/01/2020 08:30,305,1484.21875,500,2500,976.744186,3.6,4.2,95,31.475,3976.744186,95,0
05/01/2020 09:00,364.6875,1484.21875,562.5,2500,976.744186,3.3,5.8,96,32.95,4039.244186,96,0
05/01/2020 09:30,422.34375,1483.59375,625,2500,906.9767442,3.3,5.8,97,35.975,4031.976744,97,0
05/01/2020 10:00,487.96875,1484.84375,718.75,2500,922.4806202,4.2,4.5,98,39,4141.23062,98,0
05/01/2020 10:30,559.375,1486.25,812.5,2500,914.7286822,4.2,4.5,99,36.32,4227.228682,99,0
05/01/2020 11:00,615.9375,1486.25,906.25,2500,844.9612403,3.9,6.1,100,33.64,4251.21124,100,0
05/01/2020 11:30,677.8125,1485.9375,1000,2468.75,875.9689922,3.9,6.1,101,33.82,4344.718992,101,0
05/01/2020 12:00,728.125,1486.09375,1093.75,2437.5,837.2093023,4.8,5.6,102,34,4368.459302,102,0
05/01/2020 12:30,799.84375,1486.40625,1187.5,2406.25,813.9534884,4.8,5.6,103,36,4407.703488,103,0
05/01/2020 13:00,869.21875,1486.09375,1281.25,2375,751.9379845,4.7,6.6,104,38,4408.187984,104,0
05/01/2020 13:30,927.34375,1486.09375,1375,2343.75,759.6899225,4.7,6.6,105,38.5,4478.439922,105,-60.06148755
05/01/2020 14:00,905.78125,1487.03125,1312.5,2343.75,790.6976744,4.8,6.3,106,39,4446.947674,106,-41.34643697
05/01/2020 14:30,832.65625,1486.71875,1218.75,2343.75,790.6976744,4.8,6.3,107,37.395,4353.197674,107,0
05/01/2020 15:00,772.5,1487.34375,1125,2343.75,790.6976744,5.1,5.2,108,35.79,4259.447674,108,0
05/01/2020 15:30,722.5,1487.65625,1031.25,2343.75,775.1937984,5.1,5.2,109,41.895,4150.193798,109,0
05/01/2020 16:00,672.1875,1488.28125,937.5,2343.75,759.6899225,5.1,4.9,110,48,4040.939922,110,0
05/01/2020 16:30,612.5,1488.90625,875,2343.75,798.4496124,5.1,4.9,111,53.065,4017.199612,111,0
05/01/2020 17:00,554.84375,1490.3125,812.5,2343.75,860.4651163,4.8,4.9,112,58.13,4016.715116,112,0
05/01/2020 17:30,489.21875,1489.21875,718.75,2343.75,868.2170543,4.8,4.9,113,51.93,3930.717054,113,0
05/01/2020 18:00,417.8125,1488.4375,625,2343.75,829.4573643,4.5,5.5,114,45.73,3798.207364,114,0
05/01/2020 18:30,361.25,1488.4375,531.25,2343.75,806.2015504,4.5,5.5,115,43.105,3681.20155,115,0
05/01/2020 19:00,299.375,1489.375,437.5,2343.75,875.9689922,4.2,5.2,116,40.48,3657.218992,116,0
